video_title,comment_text,is_sarcastic
Deploying to Production on Friday at 5 PM,"Wow, Finally got environment running. Appreciate clear step-by-step instructions. Keep",0
Java vs C++ for Competitive Programming,Great video. Great perspective. Focusing control essential.,0
A day in the life of an MCA student at Presidency University,Thanks! Love local culture vibe city.,0
Best FxPlug Plugins for Creators,Brilliant. favorite feature eats 64GB RAM instantly. needed.,1
Color Grading in Pixelmator Pro,"Honestly, Pixelmator Pro seriously giving Adobe run money. helpful.",0
Is Web3 the future of the internet?,"Brilliant. Finally, reasonably priced piece metal. desk feeling cheap.",1
Monsoon arrives in Namma Bengaluru,"Wow, biryani ordered looks fantastic. helpful.",0
Final Cut Pro 2026 Full Tutorial,Brilliant. Rendering 4K video took 3 days. Blazing fast.,1
Learning PHP in 2026,Great video. Great perspective. Focusing control essential.,0
Learning PHP in 2026,"Great video. Thanks visual diagram, really helped understand pointers swap. helpful.",0
Understanding Pointers in C,"Wow, Ah yes, unsolved problem modern physics. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Lmao, Ah, Venice India. Time get gondola needed.",1
Monsoon arrives in Namma Bengaluru,Great video. really miss weather Enjoy Keep,0
Using Light Theme in VS Code,"Truly, nothing says 'relaxing weekend' like catastrophic database failure.",1
Color Grading in Pixelmator Pro,Awesome. new color grading tools massive step last year.,0
Color Grading in Pixelmator Pro,"Wow, Wow, user interface hidden need map find timeline. Incredible.",1
Final Cut Pro 2026 Full Tutorial,"Wow, Rendering 4K video took 3 days. Blazing fast. Masterpiece.",1
Renting a 1BHK in Indiranagar 2026,"Truly, 40k rent broom closet? steal!",1
Using Light Theme in VS Code,"Brilliant. Yes, HTML code self-aware",1
Java vs C++ for Competitive Programming,"Wow, prefer using Docker method works great",0
Why Python is the absolute fastest language,"Lmao, copy-pasted computer caught fire. Thanks! Masterpiece.",1
Monsoon arrives in Namma Bengaluru,"Oh, Nothing like 2-hour commute 5km distance build character. Masterpiece.",1
The new 8GB RAM MacBook Pro in 2026,"Lmao, Ah yes, exactly needed: another proprietary port.",1
Taking a flight from Patna to Bengaluru,"Haha, Wow, think saw car move three entire inches hour. Thrilling pace.",1
Java vs C++ for Competitive Programming,"Truly, Ah yes, unsolved problem modern physics. Masterpiece.",1
Monsoon arrives in Namma Bengaluru,Great video. Great vlog! Brings back memories college days.,0
Adobe After Effects vs Apple Motion,"looking tutorial writing custom FxPlug plugins, thank Keep",0
Building a Flask API for my Assignment Tracker,"Honestly, Thanks visual diagram, really helped understand pointers swap.",0
Deploying to Production on Friday at 5 PM,"Haha, nothing says 'relaxing weekend' like catastrophic database failure.",1
Deploying to Production on Friday at 5 PM,"Wow, fast! took 3 hours print Hello World.",1
How to center a div in CSS,Thanks! prefer using Docker method works great,0
Color Grading in Pixelmator Pro,"Lmao, love software crashes right hit save. Adds excitement.",1
Apple announces new $999 Monitor Stand,upgraded processing power makes perfect autonomous drone project.,0
How to center a div in CSS,"Ah yes, Oh, absolutely. love measuring execution time calendar....",1
Java vs C++ for Competitive Programming,Awesome. think Java still holds incredibly well large enterprise systems.,0
Monsoon arrives in Namma Bengaluru,"Honestly, paneer butter masala last spot looked amazing. Definitely visiting next time. Thanks sharing.",0
Why Python is the absolute fastest language,"Lmao, sure memory leaks 'undocumented features'.",1
Best FxPlug Plugins for Creators,"Oh, Rendering 4K video took 3 days. Blazing fast.",1
Best FxPlug Plugins for Creators,"Wow, Thanks deep dive Apple Motion, underrated software.",0
Renting a 1BHK in Indiranagar 2026,"Truly, auto driver asked 500 rupees cross street. Fair price. Incredible.",1
Adobe After Effects vs Apple Motion,"Haha, Wow, user interface hidden need map find timeline.",1
My Code Compiled on the First Try!,"Haha, nothing says 'relaxing weekend' like catastrophic database failure.",1
DIY Autonomous Car with LiDAR Sensor,"Haha, love replacing entire motherboard upgrade storage. Incredible.",1
Best street food in Bengaluru,Thanks! really miss weather Enjoy Keep,0
Renting a 1BHK in Indiranagar 2026,"Wow, think saw car move three entire inches hour. Thrilling pace....",1
Final Cut Pro 2026 Full Tutorial,"Truly, Yes, definitely needed 400 new transition wipes.",1
Building a mechanical keyboard from scratch,Awesome. switches use? sound really smooth. helpful.,0
DIY Autonomous Car with LiDAR Sensor,think worth upgrade coming older model.,0
The new 8GB RAM MacBook Pro in 2026,Great video. Great camera test! low light performance impressive.,0
Best FxPlug Plugins for Creators,"Wow, magnetic timeline FCP makes editing much faster workflow. Thanks sharing.",0
Java vs C++ for Competitive Programming,"Honestly, Thanks visual diagram, really helped understand pointers swap.",0
Renting a 1BHK in Indiranagar 2026,"Wow, metro extension really helping commute.",0
Reviewing the new Raspberry Pi 6,Great video. think worth upgrade coming older model.,0
Best FxPlug Plugins for Creators,"Truly, Oh good, another subscription model drain bank account.",1
Taking a flight from Patna to Bengaluru,Awesome. Love local culture vibe city.,0
DIY Autonomous Car with LiDAR Sensor,"Ah yes, definitely want pay $40 gas fee like tweet. Sign Masterpiece.",1
Adobe After Effects vs Apple Motion,"Yes, definitely needed 400 new transition wipes.",1
Why Python is the absolute fastest language,"Ah yes, unsolved problem modern physics.",1
How to center a div in CSS,"Wow, prefer using Docker method works great Thanks sharing.",0
Adobe After Effects vs Apple Motion,"Wow, Rendering 4K video took 3 days. Blazing fast. brave.",1
Apple announces new $999 Monitor Stand,Thanks! Great camera test! low light performance impressive.,0
Adobe After Effects vs Apple Motion,"Truly, favorite feature eats 64GB RAM instantly. Incredible.",1
Bengaluru Traffic Timelapse (Silk Board),Thanks! paneer butter masala last spot looked amazing. Definitely visiting next time.,0
Final Cut Pro 2026 Full Tutorial,"Oh, favorite feature eats 64GB RAM instantly. brave.",1
How to center a div in CSS,"Honestly, straightforward explanation ever seen. Thanks sharing.",0
Building a mechanical keyboard from scratch,"Ah yes, Can't wait buy charger separately another $200....",1
Renting a 1BHK in Indiranagar 2026,"Wow, Great vlog! Brings back memories college days. Keep",0
I Built a Machine Learning Model in 5 Minutes,"agree, straightforward explanation ever seen.",0
Is Web3 the future of the internet?,"Haha, generous Next year maybe get floppy disk drive",1
Adobe After Effects vs Apple Motion,"Honestly, magnetic timeline FCP makes editing much faster workflow.",0
Is Web3 the future of the internet?,"Ah yes, love replacing entire motherboard upgrade storage. Incredible.",1
Best FxPlug Plugins for Creators,"Brilliant. Yes, definitely needed 400 new transition wipes.",1
Deploying to Production on Friday at 5 PM,"Lmao, copy-pasted computer caught fire. Thanks!",1
Taking a flight from Patna to Bengaluru,"Oh, Great, parks. Exactly traffic needed.",1
Final Cut Pro 2026 Full Tutorial,"Lmao, favorite feature eats 64GB RAM instantly.",1
Color Grading in Pixelmator Pro,"Brilliant. Yes, definitely needed 400 new transition wipes.",1
How to center a div in CSS,"Lmao, Wow, fast! took 3 hours print Hello World. needed.",1
Java vs C++ for Competitive Programming,Great video. Finally got environment running. Appreciate clear step-by-step instructions.,0
Understanding Pointers in C,"Truly, sure memory leaks 'undocumented features'.",1
A day in the life of an MCA student at Presidency University,"agree, biryani ordered looks fantastic.",0
Reviewing the new Raspberry Pi 6,switches use? sound really smooth. helpful.,0
Apple announces new $999 Monitor Stand,Thanks! Great camera test! low light performance impressive.,0
Why Python is the absolute fastest language,"Honestly, Great perspective. Focusing control essential.",0
I Built a Machine Learning Model in 5 Minutes,"Honestly, think Java still holds incredibly well large enterprise systems. Keep",0
Best street food in Bengaluru,"Wow, auto driver asked 500 rupees cross street. Fair price.",1
Taking a flight from Patna to Bengaluru,"Awesome. moving next month, informative. Keep",0
The new 8GB RAM MacBook Pro in 2026,"Wow, switches use? sound really smooth. Thanks sharing.",0
Learning PHP in 2026,Awesome. Finally got environment running. Appreciate clear step-by-step instructions.,0
A day in the life of an MCA student at Presidency University,"Honestly, paneer butter masala last spot looked amazing. Definitely visiting next time.",0
Apple announces new $999 Monitor Stand,Brilliant. Can't wait buy charger separately another $200.,1
Monsoon arrives in Namma Bengaluru,"Oh, auto driver asked 500 rupees cross street. Fair price. needed.",1
Adobe After Effects vs Apple Motion,"agree, transition pack actually looks clean professional. Keep",0
Using Light Theme in VS Code,"Lmao, Oh, absolutely. love measuring execution time calendar. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Wow, metro extension really helping commute. Keep",0
Best FxPlug Plugins for Creators,"Truly, Wow, user interface hidden need map find timeline. Masterpiece.",1
Adobe After Effects vs Apple Motion,"Oh, love software crashes right hit save. Adds excitement. needed.",1
Adobe After Effects vs Apple Motion,Awesome. transition pack actually looks clean professional.,0
Is Web3 the future of the internet?,"Honestly, using week battery life insane.",0
Adobe After Effects vs Apple Motion,"agree, audio mixing tips end lifesaver. Thanks sharing.",0
Renting a 1BHK in Indiranagar 2026,"Ah yes, Nothing like 2-hour commute 5km distance build character.",1
Using Light Theme in VS Code,"Truly, Wow, fast! took 3 hours print Hello World. Incredible.",1
Color Grading in Pixelmator Pro,"Wow, user interface hidden need map find timeline. Incredible.",1
Final Cut Pro 2026 Full Tutorial,"Truly, Ah, paying $50 plugin shakes screen. Worth brave.",1
Final Cut Pro 2026 Full Tutorial,"Oh, Yes, definitely needed 400 new transition wipes. needed.",1
Is Web3 the future of the internet?,"Great video. actually like new design, feels premium.",0
I Built a Machine Learning Model in 5 Minutes,"agree, straightforward explanation ever seen.",0
Java vs C++ for Competitive Programming,Great video. Great perspective. Focusing control essential.,0
Best street food in Bengaluru,"moving next month, informative. Thanks sharing.",0
Color Grading in Pixelmator Pro,"Honestly, Pixelmator Pro seriously giving Adobe run money.",0
Why Python is the absolute fastest language,Brilliant. sure memory leaks 'undocumented features'.,1
Reviewing the new Raspberry Pi 6,Great video. Great camera test! low light performance impressive. Thanks sharing.,0
Is Web3 the future of the internet?,"Great video. Good thorough review, especially thermal testing. helpful.",0
Taking a flight from Patna to Bengaluru,"Haha, Nothing like 2-hour commute 5km distance build character....",1
Building a Flask API for my Assignment Tracker,"Lmao, sure memory leaks 'undocumented features'.",1
Learning PHP in 2026,"Oh, Wow, fast! took 3 hours print Hello World.",1
Final Cut Pro 2026 Full Tutorial,"Haha, favorite feature eats 64GB RAM instantly.",1
Final Cut Pro 2026 Full Tutorial,"Truly, favorite feature eats 64GB RAM instantly. Masterpiece.",1
Reviewing the new Raspberry Pi 6,"Honestly, Good thorough review, especially thermal testing. helpful.",0
Bengaluru Traffic Timelapse (Silk Board),"Great, parks. Exactly traffic needed.",1
Monsoon arrives in Namma Bengaluru,Thanks! metro extension really helping commute.,0
Building a Flask API for my Assignment Tracker,"Lmao, Amazing. invented statement. Masterpiece.",1
Adobe After Effects vs Apple Motion,"Wow, Pixelmator Pro seriously giving Adobe run money. Keep",0
Adobe After Effects vs Apple Motion,"Awesome. Thanks deep dive Apple Motion, underrated software. helpful.",0
Taking a flight from Patna to Bengaluru,"Truly, 40k rent broom closet? steal!",1
Best FxPlug Plugins for Creators,"Ah yes, love software crashes right hit save. Adds excitement.",1
Why Python is the absolute fastest language,"Lmao, Wow, fast! took 3 hours print Hello World. brave.",1
Color Grading in Pixelmator Pro,"agree, magnetic timeline FCP makes editing much faster workflow.",0
My Code Compiled on the First Try!,Brilliant. nothing says 'relaxing weekend' like catastrophic database failure. Incredible.,1
Renting a 1BHK in Indiranagar 2026,"Wow, biryani ordered looks fantastic.",0
The new 8GB RAM MacBook Pro in 2026,"Oh, generous Next year maybe get floppy disk drive",1
Understanding Pointers in C,"Brilliant. Ah yes, unsolved problem modern physics.",1
Bengaluru Traffic Timelapse (Silk Board),"agree, Love local culture vibe city. Keep",0
The new 8GB RAM MacBook Pro in 2026,"Wow, love replacing entire motherboard upgrade storage.",1
A day in the life of an MCA student at Presidency University,"Truly, 40k rent broom closet? steal! Masterpiece.",1
Building a mechanical keyboard from scratch,"agree, Thanks comparing previous generation. Keep",0
A day in the life of an MCA student at Presidency University,Brilliant. love potholes practically historical landmarks brave.,1
Best FxPlug Plugins for Creators,Thanks! Pixelmator Pro seriously giving Adobe run money.,0
Adobe After Effects vs Apple Motion,"Ah yes, favorite feature eats 64GB RAM instantly. needed.",1
Best FxPlug Plugins for Creators,"Honestly, Thanks deep dive Apple Motion, underrated software.",0
Bengaluru Traffic Timelapse (Silk Board),Brilliant. auto driver asked 500 rupees cross street. Fair price. Masterpiece.,1
Reviewing the new Raspberry Pi 6,"Lmao, Oh wow, paying ₹1.5 Lakhs 8GB RAM truly revolutionary. Masterpiece.",1
Final Cut Pro 2026 Full Tutorial,"Honestly, Thanks deep dive Apple Motion, underrated software. Keep",0
Bengaluru Traffic Timelapse (Silk Board),"Brilliant. Wow, think saw car move three entire inches hour. Thrilling pace.",1
Reviewing the new Raspberry Pi 6,"Thanks! actually like new design, feels premium. helpful.",0
Final Cut Pro 2026 Full Tutorial,"Ah yes, Rendering 4K video took 3 days. Blazing fast. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Thanks! moving next month, informative. Keep",0
Learning PHP in 2026,Awesome. Great perspective. Focusing control essential.,0
Final Cut Pro 2026 Full Tutorial,"agree, Thanks deep dive Apple Motion, underrated software. Thanks sharing.",0
Best street food in Bengaluru,"Brilliant. Ah, Venice India. Time get gondola needed.",1
Building a Flask API for my Assignment Tracker,"Wow, think Java still holds incredibly well large enterprise systems. helpful.",0
Color Grading in Pixelmator Pro,"Great video. Thanks deep dive Apple Motion, underrated software. Thanks sharing.",0
Building a mechanical keyboard from scratch,"agree, actually like new design, feels premium.",0
How to center a div in CSS,"Awesome. know shortcut, helpful.",0
My Code Compiled on the First Try!,"Lmao, Truly groundbreaking use nested loop 2026.",1
The new 8GB RAM MacBook Pro in 2026,"Haha, removed headphone jack courage. Truly brave. brave.",1
The new 8GB RAM MacBook Pro in 2026,switches use? sound really smooth. Thanks sharing.,0
A day in the life of an MCA student at Presidency University,Great video. share exact location Dosa place? Thanks sharing.,0
Learning PHP in 2026,Finally got environment running. Appreciate clear step-by-step instructions.,0
Final Cut Pro 2026 Full Tutorial,Thanks! audio mixing tips end lifesaver. Thanks sharing.,0
Renting a 1BHK in Indiranagar 2026,"agree, metro extension really helping commute.",0
Adobe After Effects vs Apple Motion,"Thanks! Thanks deep dive Apple Motion, underrated software.",0
Building a mechanical keyboard from scratch,"Wow, actually like new design, feels premium.",0
Java vs C++ for Competitive Programming,"Lmao, Yes, HTML code self-aware Masterpiece.",1
Reviewing the new Raspberry Pi 6,"Truly, Next sell us screen keyboard separately.",1
Taking a flight from Patna to Bengaluru,"Haha, auto driver asked 500 rupees cross street. Fair price. Incredible.",1
Renting a 1BHK in Indiranagar 2026,Love local culture vibe city.,0
Understanding Pointers in C,"Wow, straightforward explanation ever seen. Thanks sharing.",0
Taking a flight from Patna to Bengaluru,"Wow, Wow, think saw car move three entire inches hour. Thrilling pace. Incredible.",1
Best FxPlug Plugins for Creators,"Haha, favorite feature eats 64GB RAM instantly....",1
Color Grading in Pixelmator Pro,"Wow, Wow, user interface hidden need map find timeline. Masterpiece.",1
Adobe After Effects vs Apple Motion,"agree, magnetic timeline FCP makes editing much faster workflow. Keep",0
Best FxPlug Plugins for Creators,"Haha, Yes, definitely needed 400 new transition wipes.",1
Taking a flight from Patna to Bengaluru,paneer butter masala last spot looked amazing. Definitely visiting next time.,0
Taking a flight from Patna to Bengaluru,Thanks! Love local culture vibe city.,0
Apple announces new $999 Monitor Stand,"agree, Thanks comparing previous generation.",0
Color Grading in Pixelmator Pro,Awesome. transition pack actually looks clean professional. helpful.,0
Using Light Theme in VS Code,"Yes, HTML code self-aware",1
My Code Compiled on the First Try!,"Lmao, Ah yes, unsolved problem modern physics.",1
Reviewing the new Raspberry Pi 6,Thanks! switches use? sound really smooth.,0
Is Web3 the future of the internet?,"Brilliant. Wow, 1% faster last year. Innovation peaked.",1
Adobe After Effects vs Apple Motion,Great video. new color grading tools massive step last year.,0
Is Web3 the future of the internet?,"Wow, Thanks comparing previous generation.",0
DIY Autonomous Car with LiDAR Sensor,Awesome. Thanks comparing previous generation. helpful.,0
Building a mechanical keyboard from scratch,"Lmao, Can't wait buy charger separately another $200. brave.",1
Best FxPlug Plugins for Creators,"Awesome. Thanks deep dive Apple Motion, underrated software.",0
Java vs C++ for Competitive Programming,"Truly, Oh, absolutely. love measuring execution time calendar.",1
Reviewing the new Raspberry Pi 6,"Honestly, actually like new design, feels premium.",0
Color Grading in Pixelmator Pro,"Honestly, audio mixing tips end lifesaver. helpful.",0
Building a mechanical keyboard from scratch,Brilliant. generous Next year maybe get floppy disk drive Incredible.,1
Is Web3 the future of the internet?,"agree, using week battery life insane.",0
A day in the life of an MCA student at Presidency University,"Ah yes, affordable! sell one kidney deposit. brave.",1
Renting a 1BHK in Indiranagar 2026,"Ah yes, affordable! sell one kidney deposit.",1
Best FxPlug Plugins for Creators,"Truly, Wow, user interface hidden need map find timeline. brave.",1
Color Grading in Pixelmator Pro,Great video. new color grading tools massive step last year. Thanks sharing.,0
Adobe After Effects vs Apple Motion,Thanks! audio mixing tips end lifesaver. helpful.,0
The new 8GB RAM MacBook Pro in 2026,Great video. upgraded processing power makes perfect autonomous drone project.,0
Is Web3 the future of the internet?,"Brilliant. Ah yes, exactly needed: another proprietary port. Masterpiece.",1
Color Grading in Pixelmator Pro,"Awesome. Thanks deep dive Apple Motion, underrated software. helpful.",0
How to center a div in CSS,"Honestly, know shortcut, helpful.",0
Final Cut Pro 2026 Full Tutorial,"agree, Pixelmator Pro seriously giving Adobe run money.",0
Building a mechanical keyboard from scratch,"Finally, reasonably priced piece metal. desk feeling cheap.",1
Reviewing the new Raspberry Pi 6,"Wow, Next sell us screen keyboard separately.",1
Renting a 1BHK in Indiranagar 2026,"Ah yes, paying premium flight sit tarmac 2 hours. Incredible.",1
Best street food in Bengaluru,"Lmao, love potholes practically historical landmarks Masterpiece.",1
Bengaluru Traffic Timelapse (Silk Board),Awesome. Beautiful shots Cubbon Park. green!,0
Adobe After Effects vs Apple Motion,Great video. audio mixing tips end lifesaver.,0
My Code Compiled on the First Try!,"Awesome. Thanks visual diagram, really helped understand pointers swap. Thanks sharing.",0
The new 8GB RAM MacBook Pro in 2026,"Lmao, Next sell us screen keyboard separately. Masterpiece.",1
Final Cut Pro 2026 Full Tutorial,Awesome. audio mixing tips end lifesaver.,0
Deploying to Production on Friday at 5 PM,Thanks! Great perspective. Focusing control essential. Keep,0
Using Light Theme in VS Code,"Wow, Finally got environment running. Appreciate clear step-by-step instructions. helpful.",0
Best street food in Bengaluru,"Wow, affordable! sell one kidney deposit. needed.",1
Why Python is the absolute fastest language,"Wow, straightforward explanation ever seen.",0
Why Python is the absolute fastest language,"Honestly, Thanks visual diagram, really helped understand pointers swap. helpful.",0
How to center a div in CSS,"Wow, Great perspective. Focusing control essential. Keep",0
The new 8GB RAM MacBook Pro in 2026,Brilliant. Next sell us screen keyboard separately. Masterpiece.,1
Color Grading in Pixelmator Pro,"Ah yes, Oh good, another subscription model drain bank account. brave.",1
Understanding Pointers in C,"Wow, straightforward explanation ever seen. helpful.",0
How to center a div in CSS,"Lmao, Oh, absolutely. love measuring execution time calendar. brave.",1
Reviewing the new Raspberry Pi 6,"Oh, Wow, 1% faster last year. Innovation peaked. needed.",1
Building a mechanical keyboard from scratch,"Oh, Wow, 1% faster last year. Innovation peaked.",1
Building a mechanical keyboard from scratch,"Ah yes, Wow, 1% faster last year. Innovation peaked. Masterpiece.",1
Deploying to Production on Friday at 5 PM,Brilliant. Amazing. invented statement. needed.,1
The new 8GB RAM MacBook Pro in 2026,"Oh, Finally, reasonably priced piece metal. desk feeling cheap. needed.",1
Building a Flask API for my Assignment Tracker,"Haha, sure memory leaks 'undocumented features'.",1
A day in the life of an MCA student at Presidency University,Awesome. Great vlog! Brings back memories college days. Thanks sharing.,0
Monsoon arrives in Namma Bengaluru,"agree, Love local culture vibe city. Keep",0
Best street food in Bengaluru,Awesome. biryani ordered looks fantastic. Thanks sharing.,0
Building a mechanical keyboard from scratch,"agree, Great camera test! low light performance impressive.",0
Monsoon arrives in Namma Bengaluru,"Haha, auto driver asked 500 rupees cross street. Fair price. Incredible.",1
I Built a Machine Learning Model in 5 Minutes,"Great video. Thanks visual diagram, really helped understand pointers swap.",0
Deploying to Production on Friday at 5 PM,"agree, Thanks visual diagram, really helped understand pointers swap.",0
