video_title,comment_text,is_sarcastic
How to center a div in CSS,"Wow, I prefer using Docker for this, but your method works great too. Thanks for sharing.",0
Adobe After Effects vs Apple Motion,"Wow, Rendering this 4K video only took 3 days. Blazing fast. So brave.",1
Apple announces new $999 Monitor Stand,Thanks! Great camera test! The low light performance is impressive. 🔥,0
Adobe After Effects vs Apple Motion,"Truly, My favorite feature is how it eats 64GB of RAM instantly. Incredible.",1
Bengaluru Traffic Timelapse (Silk Board),Thanks! The paneer butter masala at that last spot looked amazing. Definitely visiting next time. 👍,0
Final Cut Pro 2026 Full Tutorial,"Oh, My favorite feature is how it eats 64GB of RAM instantly. So brave.",1
How to center a div in CSS,"Honestly, This is the most straightforward explanation I have ever seen. Thanks for sharing.",0
Building a mechanical keyboard from scratch,"Ah yes, Can't wait to buy the charger separately for another $200....",1
Renting a 1BHK in Indiranagar 2026,"Wow, Great vlog! Brings back memories from my college days. Keep it up!",0
I Built a Machine Learning Model in 5 Minutes,"I agree, This is the most straightforward explanation I have ever seen.",0
Is Web3 the future of the internet?,"Haha, So generous of them! Next year maybe we will get a floppy disk drive too. 🙄",1
Adobe After Effects vs Apple Motion,"Honestly, The magnetic timeline in FCP makes editing so much faster for my workflow. 🔥",0
Is Web3 the future of the internet?,"Ah yes, I love replacing my entire motherboard just to upgrade the storage. Incredible.",1
Best FxPlug Plugins for Creators,"Brilliant. Yes, because I definitely needed 400 new transition wipes. 🤡",1
Deploying to Production on Friday at 5 PM,"Lmao, I copy-pasted this and my computer caught fire. Thanks!",1
Taking a flight from Patna to Bengaluru,"Oh, Great, more IT parks. Exactly what the traffic needed. 🤡",1
Final Cut Pro 2026 Full Tutorial,"Lmao, My favorite feature is how it eats 64GB of RAM instantly. 🙄",1
Color Grading in Pixelmator Pro,"Brilliant. Yes, because I definitely needed 400 new transition wipes. 🙃",1
How to center a div in CSS,"Lmao, Wow, so fast! It only took 3 hours to print Hello World. Just what I needed.",1
Java vs C++ for Competitive Programming,Great video. Finally got my environment running. Appreciate the clear step-by-step instructions. 🙏,0
Understanding Pointers in C,"Truly, I'm sure the memory leaks are just 'undocumented features'. 🙄",1
A day in the life of an MCA student at Presidency University,"I agree, The biryani you ordered looks fantastic. 👍",0
Reviewing the new Raspberry Pi 6,What switches did you use? They sound really smooth. Very helpful.,0
Apple announces new $999 Monitor Stand,Thanks! Great camera test! The low light performance is impressive. 🔥,0
Why Python is the absolute fastest language,"Honestly, Great perspective. Focusing only on what you can control is essential. 👍",0
I Built a Machine Learning Model in 5 Minutes,"Honestly, I think Java still holds up incredibly well for large enterprise systems. Keep it up!",0
Best street food in Bengaluru,"Wow, The auto driver asked for 500 rupees to cross the street. Fair price. 🤡",1
Taking a flight from Patna to Bengaluru,"Awesome. I'm moving there next month, this was very informative. Keep it up!",0
The new 8GB RAM MacBook Pro in 2026,"Wow, What switches did you use? They sound really smooth. Thanks for sharing.",0
Learning PHP in 2026,Awesome. Finally got my environment running. Appreciate the clear step-by-step instructions. 🙏,0
A day in the life of an MCA student at Presidency University,"Honestly, The paneer butter masala at that last spot looked amazing. Definitely visiting next time. 🔥",0
Apple announces new $999 Monitor Stand,Brilliant. Can't wait to buy the charger separately for another $200.,1
Monsoon arrives in Namma Bengaluru,"Oh, The auto driver asked for 500 rupees to cross the street. Fair price. Just what I needed.",1
Adobe After Effects vs Apple Motion,"I agree, This transition pack actually looks very clean and professional. Keep it up!",0
Using Light Theme in VS Code,"Lmao, Oh, absolutely. I love measuring my execution time with a calendar. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Wow, The metro extension is really helping with the commute. Keep it up!",0
Best FxPlug Plugins for Creators,"Truly, Wow, the user interface is so hidden I need a map to find the timeline. Masterpiece.",1
Adobe After Effects vs Apple Motion,"Oh, I love it when the software crashes right before I hit save. Adds excitement. Just what I needed.",1
Adobe After Effects vs Apple Motion,Awesome. This transition pack actually looks very clean and professional. 🙏,0
Is Web3 the future of the internet?,"Honestly, I've been using it for a week and the battery life is insane. 🔥",0
Adobe After Effects vs Apple Motion,"I agree, Your audio mixing tips at the end were a lifesaver. Thanks for sharing.",0
Renting a 1BHK in Indiranagar 2026,"Ah yes, Nothing like a 2-hour commute for a 5km distance to build character. 🤡",1
Using Light Theme in VS Code,"Truly, Wow, so fast! It only took 3 hours to print Hello World. Incredible.",1
Color Grading in Pixelmator Pro,"Wow, the user interface is so hidden I need a map to find the timeline. Incredible.",1
Final Cut Pro 2026 Full Tutorial,"Truly, Ah, paying $50 for a plugin that just shakes the screen. Worth it. So brave.",1
Final Cut Pro 2026 Full Tutorial,"Oh, Yes, because I definitely needed 400 new transition wipes. Just what I needed.",1
Is Web3 the future of the internet?,"Great video. I actually like the new design, feels very premium. 🙏",0
I Built a Machine Learning Model in 5 Minutes,"I agree, This is the most straightforward explanation I have ever seen.",0
Java vs C++ for Competitive Programming,Great video. Great perspective. Focusing only on what you can control is essential. 👍,0
Best street food in Bengaluru,"I'm moving there next month, this was very informative. Thanks for sharing.",0
Color Grading in Pixelmator Pro,"Honestly, Pixelmator Pro is seriously giving Adobe a run for their money. 🔥",0
Why Python is the absolute fastest language,Brilliant. I'm sure the memory leaks are just 'undocumented features'. 🙃,1
Reviewing the new Raspberry Pi 6,Great video. Great camera test! The low light performance is impressive. Thanks for sharing.,0
Is Web3 the future of the internet?,"Great video. Good thorough review, especially the thermal testing. Very helpful.",0
Taking a flight from Patna to Bengaluru,"Haha, Nothing like a 2-hour commute for a 5km distance to build character....",1
Building a Flask API for my Assignment Tracker,"Lmao, I'm sure the memory leaks are just 'undocumented features'. 🙃",1
Learning PHP in 2026,"Oh, Wow, so fast! It only took 3 hours to print Hello World. 🤡",1
Final Cut Pro 2026 Full Tutorial,"Haha, My favorite feature is how it eats 64GB of RAM instantly.",1
Final Cut Pro 2026 Full Tutorial,"Truly, My favorite feature is how it eats 64GB of RAM instantly. Masterpiece.",1
Reviewing the new Raspberry Pi 6,"Honestly, Good thorough review, especially the thermal testing. Very helpful.",0
Bengaluru Traffic Timelapse (Silk Board),"Great, more IT parks. Exactly what the traffic needed. 🙃",1
Monsoon arrives in Namma Bengaluru,Thanks! The metro extension is really helping with the commute. 🙏,0
Building a Flask API for my Assignment Tracker,"Lmao, Amazing. You just invented the `if` statement. Masterpiece.",1
Adobe After Effects vs Apple Motion,"Wow, Pixelmator Pro is seriously giving Adobe a run for their money. Keep it up!",0
Adobe After Effects vs Apple Motion,"Awesome. Thanks for the deep dive into Apple Motion, very underrated software. Very helpful.",0
Taking a flight from Patna to Bengaluru,"Truly, Only 40k rent for a broom closet? What a steal! 🤡",1
Best FxPlug Plugins for Creators,"Ah yes, I love it when the software crashes right before I hit save. Adds excitement. 🙄",1
Why Python is the absolute fastest language,"Lmao, Wow, so fast! It only took 3 hours to print Hello World. So brave.",1
Color Grading in Pixelmator Pro,"I agree, The magnetic timeline in FCP makes editing so much faster for my workflow. 🙏",0
My Code Compiled on the First Try!,Brilliant. Because nothing says 'relaxing weekend' like a catastrophic database failure. Incredible.,1
Renting a 1BHK in Indiranagar 2026,"Wow, The biryani you ordered looks fantastic. 🔥",0
The new 8GB RAM MacBook Pro in 2026,"Oh, So generous of them! Next year maybe we will get a floppy disk drive too. 🤡",1
Understanding Pointers in C,"Brilliant. Ah yes, the most unsolved problem in modern physics. 🙄",1
Bengaluru Traffic Timelapse (Silk Board),"I agree, Love the local culture and vibe of this city. Keep it up!",0
The new 8GB RAM MacBook Pro in 2026,"Wow, I love replacing my entire motherboard just to upgrade the storage. 🙃",1
A day in the life of an MCA student at Presidency University,"Truly, Only 40k rent for a broom closet? What a steal! Masterpiece.",1
Building a mechanical keyboard from scratch,"I agree, Thanks for comparing it with the previous generation. Keep it up!",0
A day in the life of an MCA student at Presidency University,Brilliant. I love how the potholes are practically historical landmarks now. So brave.,1
Best FxPlug Plugins for Creators,Thanks! Pixelmator Pro is seriously giving Adobe a run for their money. 🔥,0
Adobe After Effects vs Apple Motion,"Ah yes, My favorite feature is how it eats 64GB of RAM instantly. Just what I needed.",1
Best FxPlug Plugins for Creators,"Honestly, Thanks for the deep dive into Apple Motion, very underrated software. 🔥",0
Bengaluru Traffic Timelapse (Silk Board),Brilliant. The auto driver asked for 500 rupees to cross the street. Fair price. Masterpiece.,1
Reviewing the new Raspberry Pi 6,"Lmao, Oh wow, paying ₹1.5 Lakhs for 8GB RAM is truly revolutionary. Masterpiece.",1
Final Cut Pro 2026 Full Tutorial,"Honestly, Thanks for the deep dive into Apple Motion, very underrated software. Keep it up!",0
Bengaluru Traffic Timelapse (Silk Board),"Brilliant. Wow, I think I saw a car move three entire inches in that hour. Thrilling pace. 🙃",1
Reviewing the new Raspberry Pi 6,"Thanks! I actually like the new design, feels very premium. Very helpful.",0
Final Cut Pro 2026 Full Tutorial,"Ah yes, Rendering this 4K video only took 3 days. Blazing fast. Incredible.",1
Renting a 1BHK in Indiranagar 2026,"Thanks! I'm moving there next month, this was very informative. Keep it up!",0
Learning PHP in 2026,Awesome. Great perspective. Focusing only on what you can control is essential. 🙏,0
Final Cut Pro 2026 Full Tutorial,"I agree, Thanks for the deep dive into Apple Motion, very underrated software. Thanks for sharing.",0
Best street food in Bengaluru,"Brilliant. Ah, the Venice of India. Time to get my gondola out. Just what I needed.",1
Building a Flask API for my Assignment Tracker,"Wow, I think Java still holds up incredibly well for large enterprise systems. Very helpful.",0
Color Grading in Pixelmator Pro,"Great video. Thanks for the deep dive into Apple Motion, very underrated software. Thanks for sharing.",0
Building a mechanical keyboard from scratch,"I agree, I actually like the new design, feels very premium. 🙏",0
How to center a div in CSS,"Awesome. I didn't know about that shortcut, very helpful. 🙏",0
My Code Compiled on the First Try!,"Lmao, Truly groundbreaking to use a nested loop in 2026. 🙄",1
The new 8GB RAM MacBook Pro in 2026,"Haha, They removed the headphone jack for courage. Truly brave. So brave.",1
The new 8GB RAM MacBook Pro in 2026,What switches did you use? They sound really smooth. Thanks for sharing.,0
A day in the life of an MCA student at Presidency University,Great video. Can you share the exact location of that Dosa place? Thanks for sharing.,0
Learning PHP in 2026,Finally got my environment running. Appreciate the clear step-by-step instructions.,0
Final Cut Pro 2026 Full Tutorial,Thanks! Your audio mixing tips at the end were a lifesaver. Thanks for sharing.,0
Renting a 1BHK in Indiranagar 2026,"I agree, The metro extension is really helping with the commute. 👍",0
Adobe After Effects vs Apple Motion,"Thanks! Thanks for the deep dive into Apple Motion, very underrated software. 🔥",0
Building a mechanical keyboard from scratch,"Wow, I actually like the new design, feels very premium. 👍",0
Java vs C++ for Competitive Programming,"Lmao, Yes, and my HTML code is self-aware now. Masterpiece.",1
Reviewing the new Raspberry Pi 6,"Truly, Next they will sell us the screen and keyboard separately.",1
Taking a flight from Patna to Bengaluru,"Haha, The auto driver asked for 500 rupees to cross the street. Fair price. Incredible.",1
Renting a 1BHK in Indiranagar 2026,Love the local culture and vibe of this city. 🔥,0
Understanding Pointers in C,"Wow, This is the most straightforward explanation I have ever seen. Thanks for sharing.",0
Taking a flight from Patna to Bengaluru,"Wow, Wow, I think I saw a car move three entire inches in that hour. Thrilling pace. Incredible.",1
Best FxPlug Plugins for Creators,"Haha, My favorite feature is how it eats 64GB of RAM instantly....",1
Color Grading in Pixelmator Pro,"Wow, Wow, the user interface is so hidden I need a map to find the timeline. Masterpiece.",1
Adobe After Effects vs Apple Motion,"I agree, The magnetic timeline in FCP makes editing so much faster for my workflow. Keep it up!",0
Best FxPlug Plugins for Creators,"Haha, Yes, because I definitely needed 400 new transition wipes. 🤡",1
Taking a flight from Patna to Bengaluru,The paneer butter masala at that last spot looked amazing. Definitely visiting next time. 🔥,0
Taking a flight from Patna to Bengaluru,Thanks! Love the local culture and vibe of this city. 🙏,0
Apple announces new $999 Monitor Stand,"I agree, Thanks for comparing it with the previous generation.",0
Color Grading in Pixelmator Pro,Awesome. This transition pack actually looks very clean and professional. Very helpful.,0
Using Light Theme in VS Code,"Yes, and my HTML code is self-aware now. 🙄",1
My Code Compiled on the First Try!,"Lmao, Ah yes, the most unsolved problem in modern physics. 🤡",1
Reviewing the new Raspberry Pi 6,Thanks! What switches did you use? They sound really smooth. 🔥,0
Is Web3 the future of the internet?,"Brilliant. Wow, it's 1% faster than last year. Innovation has peaked. 🙄",1
Adobe After Effects vs Apple Motion,Great video. The new color grading tools are a massive step up from last year.,0
Is Web3 the future of the internet?,"Wow, Thanks for comparing it with the previous generation. 🔥",0
DIY Autonomous Car with LiDAR Sensor,Awesome. Thanks for comparing it with the previous generation. Very helpful.,0
Building a mechanical keyboard from scratch,"Lmao, Can't wait to buy the charger separately for another $200. So brave.",1
Best FxPlug Plugins for Creators,"Awesome. Thanks for the deep dive into Apple Motion, very underrated software. 👍",0
Java vs C++ for Competitive Programming,"Truly, Oh, absolutely. I love measuring my execution time with a calendar. 🙄",1
Reviewing the new Raspberry Pi 6,"Honestly, I actually like the new design, feels very premium. 🙏",0
Color Grading in Pixelmator Pro,"Honestly, Your audio mixing tips at the end were a lifesaver. Very helpful.",0
Building a mechanical keyboard from scratch,Brilliant. So generous of them! Next year maybe we will get a floppy disk drive too. Incredible.,1
